drugcentral_id,name,best_affinity_kcal_mol,output_pdbqt
2759,trioxsalen,-8.2,runs/full-3L4D-CYP51-screen/docked/2759_out.pdbqt
284,balsalazide,-8.2,runs/full-3L4D-CYP51-screen/docked/284_out.pdbqt
3395,octocrylene,-8.2,runs/full-3L4D-CYP51-screen/docked/3395_out.pdbqt
4109,dronabinol,-8.2,runs/full-3L4D-CYP51-screen/docked/4109_out.pdbqt
4123,lubiprostone,-8.2,runs/full-3L4D-CYP51-screen/docked/4123_out.pdbqt
4458,sulfisoxazole acetyl,-8.2,runs/full-3L4D-CYP51-screen/docked/4458_out.pdbqt
4713,tofacitinib,-8.2,runs/full-3L4D-CYP51-screen/docked/4713_out.pdbqt
4829,apremilast,-8.2,runs/full-3L4D-CYP51-screen/docked/4829_out.pdbqt
5150,chloramphenicol palmitate,-8.2,runs/full-3L4D-CYP51-screen/docked/5150_out.pdbqt
5238,delafloxacin,-8.2,runs/full-3L4D-CYP51-screen/docked/5238_out.pdbqt
5261,latanoprostene bunod,-8.2,runs/full-3L4D-CYP51-screen/docked/5261_out.pdbqt
5398,lurbinectedin,-8.2,runs/full-3L4D-CYP51-screen/docked/5398_out.pdbqt
5458,piflufolastat F-18,-8.2,runs/full-3L4D-CYP51-screen/docked/5458_out.pdbqt
571,cefalexin,-8.2,runs/full-3L4D-CYP51-screen/docked/571_out.pdbqt
607,chloroquine,-8.2,runs/full-3L4D-CYP51-screen/docked/607_out.pdbqt
726,colchicine,-8.2,runs/full-3L4D-CYP51-screen/docked/726_out.pdbqt
847,dezocine,-8.2,runs/full-3L4D-CYP51-screen/docked/847_out.pdbqt
880,diflunisal,-8.2,runs/full-3L4D-CYP51-screen/docked/880_out.pdbqt
916,diphenhydramine,-8.2,runs/full-3L4D-CYP51-screen/docked/916_out.pdbqt
937,dobutamine,-8.2,runs/full-3L4D-CYP51-screen/docked/937_out.pdbqt
961,doxycycline,-8.2,runs/full-3L4D-CYP51-screen/docked/961_out.pdbqt
972,duloxetine,-8.2,runs/full-3L4D-CYP51-screen/docked/972_out.pdbqt
1006,enalaprilat,-8.1,runs/full-3L4D-CYP51-screen/docked/1006_out.pdbqt
1045,erlotinib,-8.1,runs/full-3L4D-CYP51-screen/docked/1045_out.pdbqt
119,aliskiren,-8.1,runs/full-3L4D-CYP51-screen/docked/119_out.pdbqt
1313,glutethimide,-8.1,runs/full-3L4D-CYP51-screen/docked/1313_out.pdbqt
1380,methylhomatropine,-8.1,runs/full-3L4D-CYP51-screen/docked/1380_out.pdbqt
1395,hydroxychloroquine,-8.1,runs/full-3L4D-CYP51-screen/docked/1395_out.pdbqt
1500,isopropamide,-8.1,runs/full-3L4D-CYP51-screen/docked/1500_out.pdbqt
1523,ketamine,-8.1,runs/full-3L4D-CYP51-screen/docked/1523_out.pdbqt
1552,leflunomide,-8.1,runs/full-3L4D-CYP51-screen/docked/1552_out.pdbqt
1690,pethidine,-8.1,runs/full-3L4D-CYP51-screen/docked/1690_out.pdbqt
1695,mephenytoin,-8.1,runs/full-3L4D-CYP51-screen/docked/1695_out.pdbqt
1943,nitazoxanide,-8.1,runs/full-3L4D-CYP51-screen/docked/1943_out.pdbqt
1999,orphenadrine,-8.1,runs/full-3L4D-CYP51-screen/docked/1999_out.pdbqt
2036,oxyphenbutazone,-8.1,runs/full-3L4D-CYP51-screen/docked/2036_out.pdbqt
2090,pentamidine,-8.1,runs/full-3L4D-CYP51-screen/docked/2090_out.pdbqt
2108,perindopril,-8.1,runs/full-3L4D-CYP51-screen/docked/2108_out.pdbqt
2186,piperacetazine,-8.1,runs/full-3L4D-CYP51-screen/docked/2186_out.pdbqt
2277,proflavine,-8.1,runs/full-3L4D-CYP51-screen/docked/2277_out.pdbqt
2420,salsalate,-8.1,runs/full-3L4D-CYP51-screen/docked/2420_out.pdbqt
2675,tioconazole,-8.1,runs/full-3L4D-CYP51-screen/docked/2675_out.pdbqt
2737,tridihexethyl,-8.1,runs/full-3L4D-CYP51-screen/docked/2737_out.pdbqt
2799,valdecoxib,-8.1,runs/full-3L4D-CYP51-screen/docked/2799_out.pdbqt
2801,valganciclovir,-8.1,runs/full-3L4D-CYP51-screen/docked/2801_out.pdbqt
2873,zopiclone,-8.1,runs/full-3L4D-CYP51-screen/docked/2873_out.pdbqt
3248,fosfestrol,-8.1,runs/full-3L4D-CYP51-screen/docked/3248_out.pdbqt
329,benzphetamine,-8.1,runs/full-3L4D-CYP51-screen/docked/329_out.pdbqt
331,benzquinamide,-8.1,runs/full-3L4D-CYP51-screen/docked/331_out.pdbqt
34,abacavir,-8.1,runs/full-3L4D-CYP51-screen/docked/34_out.pdbqt
3502,prucalopride,-8.1,runs/full-3L4D-CYP51-screen/docked/3502_out.pdbqt
3542,saralasin,-8.1,runs/full-3L4D-CYP51-screen/docked/3542_out.pdbqt
3558,sulfabenzamide,-8.1,runs/full-3L4D-CYP51-screen/docked/3558_out.pdbqt
404,bromazine,-8.1,runs/full-3L4D-CYP51-screen/docked/404_out.pdbqt
40,acebutolol,-8.1,runs/full-3L4D-CYP51-screen/docked/40_out.pdbqt
4183,indacaterol,-8.1,runs/full-3L4D-CYP51-screen/docked/4183_out.pdbqt
4236,octinoxate,-8.1,runs/full-3L4D-CYP51-screen/docked/4236_out.pdbqt
4444,meradimate,-8.1,runs/full-3L4D-CYP51-screen/docked/4444_out.pdbqt
4605,tonzonium,-8.1,runs/full-3L4D-CYP51-screen/docked/4605_out.pdbqt
4639,oftasceine,-8.1,runs/full-3L4D-CYP51-screen/docked/4639_out.pdbqt
530,cefazolin,-8.1,runs/full-3L4D-CYP51-screen/docked/530_out.pdbqt
5342,relebactam,-8.1,runs/full-3L4D-CYP51-screen/docked/5342_out.pdbqt
548,cefotiam,-8.1,runs/full-3L4D-CYP51-screen/docked/548_out.pdbqt
