drugcentral_id,num_atoms
1010,392
1123,360
1901,304
2236,344
2433,298
2548,273
2878,227
2989,300
2994,309
385,186
4116,145
4164,324
4233,152
4379,136
4427,291
4514,360
4516,258
4678,147
4718,326
4815,425
4821,394
4836,144
4927,287
4931,394
5195,405
5198,275
5208,139
5232,351
5267,352
5447,297
777,149
783,140
